country_code_a3,country_name,region_name,type,year,value,unit,source
DZA,Algeria,Africa,gasreserves_tcm,1980,3.5814625,tcm,bp
DZA,Algeria,Africa,gasreserves_tcm,1981,3.540075,tcm,bp
DZA,Algeria,Africa,gasreserves_tcm,1982,3.4775125,tcm,bp
DZA,Algeria,Africa,gasreserves_tcm,1983,3.3985875,tcm,bp
DZA,Algeria,Africa,gasreserves_tcm,1984,3.312925,tcm,bp
DZA,Algeria,Africa,gasreserves_tcm,1985,3.2234125,tcm,bp
DZA,Algeria,Africa,gasreserves_tcm,1986,3.1367875,tcm,bp
DZA,Algeria,Africa,gasreserves_tcm,1987,3.0443875,tcm,bp
DZA,Algeria,Africa,gasreserves_tcm,1988,3.112725,tcm,bp
DZA,Algeria,Africa,gasreserves_tcm,1989,3.128125,tcm,bp
DZA,Algeria,Africa,gasreserves_tcm,1990,3.17625,tcm,bp
DZA,Algeria,Africa,gasreserves_tcm,1991,3.490025,tcm,bp
DZA,Algeria,Africa,gasreserves_tcm,1992,3.513125,tcm,bp
DZA,Algeria,Africa,gasreserves_tcm,1993,3.56125,tcm,bp
DZA,Algeria,Africa,gasreserves_tcm,1994,2.8518875,tcm,bp
DZA,Algeria,Africa,gasreserves_tcm,1995,3.551625,tcm,bp
DZA,Algeria,Africa,gasreserves_tcm,1996,3.56125,tcm,bp
DZA,Algeria,Africa,gasreserves_tcm,1997,3.9241125,tcm,bp
DZA,Algeria,Africa,gasreserves_tcm,1998,3.9241125,tcm,bp
DZA,Algeria,Africa,gasreserves_tcm,1999,4.3505,tcm,bp
DZA,Algeria,Africa,gasreserves_tcm,2000,4.3533875,tcm,bp
DZA,Algeria,Africa,gasreserves_tcm,2001,4.3533875,tcm,bp
DZA,Algeria,Africa,gasreserves_tcm,2002,4.3533875,tcm,bp
DZA,Algeria,Africa,gasreserves_tcm,2003,4.3745625,tcm,bp
DZA,Algeria,Africa,gasreserves_tcm,2004,4.3745625,tcm,bp
DZA,Algeria,Africa,gasreserves_tcm,2005,4.3352925,tcm,bp
DZA,Algeria,Africa,gasreserves_tcm,2006,4.3352925,tcm,bp
DZA,Algeria,Africa,gasreserves_tcm,2007,4.3351,tcm,bp
DZA,Algeria,Africa,gasreserves_tcm,2008,4.3351,tcm,bp
DZA,Algeria,Africa,gasreserves_tcm,2009,4.3351,tcm,bp
DZA,Algeria,Africa,gasreserves_tcm,2010,4.3351,tcm,bp
DZA,Algeria,Africa,gasreserves_tcm,2011,4.3351,tcm,bp
DZA,Algeria,Africa,gasreserves_tcm,2012,4.3350117,tcm,bp
DZA,Algeria,Africa,gasreserves_tcm,2013,4.3350117,tcm,bp
DZA,Algeria,Africa,gasreserves_tcm,2014,4.3351,tcm,bp
DZA,Algeria,Africa,gasreserves_tcm,2015,4.3351,tcm,bp
DZA,Algeria,Africa,gasreserves_tcm,2016,4.3351,tcm,bp
DZA,Algeria,Africa,gasreserves_tcm,2017,4.3351,tcm,bp
DZA,Algeria,Africa,gasreserves_tcm,2018,4.3351,tcm,bp
DZA,Algeria,Africa,gasreserves_tcm,2019,4.3351,tcm,bp
DZA,Algeria,Africa,gasreserves_tcm,2020,2.2792,tcm,bp
ARG,Argentina,S. & Cent. America,gasreserves_tcm,1980,0.624975,tcm,bp
ARG,Argentina,S. & Cent. America,gasreserves_tcm,1981,0.6318,tcm,bp
ARG,Argentina,S. & Cent. America,gasreserves_tcm,1982,0.6747,tcm,bp
ARG,Argentina,S. & Cent. America,gasreserves_tcm,1983,0.662025,tcm,bp
ARG,Argentina,S. & Cent. America,gasreserves_tcm,1984,0.6513,tcm,bp
ARG,Argentina,S. & Cent. America,gasreserves_tcm,1985,0.663975,tcm,bp
ARG,Argentina,S. & Cent. America,gasreserves_tcm,1986,0.654225,tcm,bp
ARG,Argentina,S. & Cent. America,gasreserves_tcm,1987,0.675675,tcm,bp
ARG,Argentina,S. & Cent. America,gasreserves_tcm,1988,0.753675,tcm,bp
ARG,Argentina,S. & Cent. America,gasreserves_tcm,1989,0.654225,tcm,bp
ARG,Argentina,S. & Cent. America,gasreserves_tcm,1990,0.6435,tcm,bp
ARG,Argentina,S. & Cent. America,gasreserves_tcm,1991,0.626925,tcm,bp
ARG,Argentina,S. & Cent. America,gasreserves_tcm,1992,0.527475,tcm,bp
ARG,Argentina,S. & Cent. America,gasreserves_tcm,1993,0.504075,tcm,bp
ARG,Argentina,S. & Cent. America,gasreserves_tcm,1994,0.521625,tcm,bp
ARG,Argentina,S. & Cent. America,gasreserves_tcm,1995,0.603525,tcm,bp
ARG,Argentina,S. & Cent. America,gasreserves_tcm,1996,0.62595,tcm,bp
ARG,Argentina,S. & Cent. America,gasreserves_tcm,1997,0.6669,tcm,bp
ARG,Argentina,S. & Cent. America,gasreserves_tcm,1998,0.669825,tcm,bp
ARG,Argentina,S. & Cent. America,gasreserves_tcm,1999,0.710775,tcm,bp
ARG,Argentina,S. & Cent. America,gasreserves_tcm,2000,0.75855,tcm,bp
ARG,Argentina,S. & Cent. America,gasreserves_tcm,2001,0.7449,tcm,bp
ARG,Argentina,S. & Cent. America,gasreserves_tcm,2002,0.6474,tcm,bp
ARG,Argentina,S. & Cent. America,gasreserves_tcm,2003,0.5967,tcm,bp
ARG,Argentina,S. & Cent. America,gasreserves_tcm,2004,0.52845,tcm,bp
ARG,Argentina,S. & Cent. America,gasreserves_tcm,2005,0.428025,tcm,bp
ARG,Argentina,S. & Cent. America,gasreserves_tcm,2006,0.43485,tcm,bp
ARG,Argentina,S. & Cent. America,gasreserves_tcm,2007,0.429819715,tcm,bp
ARG,Argentina,S. & Cent. America,gasreserves_tcm,2008,0.387569453,tcm,bp
ARG,Argentina,S. & Cent. America,gasreserves_tcm,2009,0.368265328,tcm,bp
ARG,Argentina,S. & Cent. America,gasreserves_tcm,2010,0.348847328,tcm,bp
ARG,Argentina,S. & Cent. America,gasreserves_tcm,2011,0.323366191,tcm,bp
ARG,Argentina,S. & Cent. America,gasreserves_tcm,2012,0.306831252,tcm,bp
ARG,Argentina,S. & Cent. America,gasreserves_tcm,2013,0.319232555,tcm,bp
ARG,Argentina,S. & Cent. America,gasreserves_tcm,2014,0.323081453,tcm,bp
ARG,Argentina,S. & Cent. America,gasreserves_tcm,2015,0.340845807,tcm,bp
ARG,Argentina,S. & Cent. America,gasreserves_tcm,2016,0.327410243,tcm,bp
ARG,Argentina,S. & Cent. America,gasreserves_tcm,2017,0.345684432,tcm,bp
ARG,Argentina,S. & Cent. America,gasreserves_tcm,2018,0.36048808,tcm,bp
ARG,Argentina,S. & Cent. America,gasreserves_tcm,2019,0.385567746,tcm,bp
ARG,Argentina,S. & Cent. America,gasreserves_tcm,2020,0.385567746,tcm,bp
AUS,Australia,Asia Pacific,gasreserves_tcm,1980,0.141336,tcm,bp
AUS,Australia,Asia Pacific,gasreserves_tcm,1981,0.356382,tcm,bp
AUS,Australia,Asia Pacific,gasreserves_tcm,1982,0.49998,tcm,bp
AUS,Australia,Asia Pacific,gasreserves_tcm,1983,0.49062,tcm,bp
AUS,Australia,Asia Pacific,gasreserves_tcm,1984,0.53742,tcm,bp
AUS,Australia,Asia Pacific,gasreserves_tcm,1985,0.55302,tcm,bp
AUS,Australia,Asia Pacific,gasreserves_tcm,1986,0.70356,tcm,bp
