Country,Year,Country_Code,Region,SubRegion,GasReserves
Algeria,1980,DZA,Africa,Northern Africa,3.5814625
Algeria,1981,DZA,Africa,Northern Africa,3.540075
Algeria,1982,DZA,Africa,Northern Africa,3.4775125
Algeria,1983,DZA,Africa,Northern Africa,3.3985875
Algeria,1984,DZA,Africa,Northern Africa,3.312925
Algeria,1985,DZA,Africa,Northern Africa,3.2234125
Algeria,1986,DZA,Africa,Northern Africa,3.1367875
Algeria,1987,DZA,Africa,Northern Africa,3.0443875
Algeria,1988,DZA,Africa,Northern Africa,3.112725
Algeria,1989,DZA,Africa,Northern Africa,3.128125
Algeria,1990,DZA,Africa,Northern Africa,3.17625
Algeria,1991,DZA,Africa,Northern Africa,3.490025
Algeria,1992,DZA,Africa,Northern Africa,3.513125
Algeria,1993,DZA,Africa,Northern Africa,3.56125
Algeria,1994,DZA,Africa,Northern Africa,2.8518875
Algeria,1995,DZA,Africa,Northern Africa,3.551625
Algeria,1996,DZA,Africa,Northern Africa,3.56125
Algeria,1997,DZA,Africa,Northern Africa,3.9241125
Algeria,1998,DZA,Africa,Northern Africa,3.9241125
Algeria,1999,DZA,Africa,Northern Africa,4.3505
Algeria,2000,DZA,Africa,Northern Africa,4.3533875
Algeria,2001,DZA,Africa,Northern Africa,4.3533875
Algeria,2002,DZA,Africa,Northern Africa,4.3533875
Algeria,2003,DZA,Africa,Northern Africa,4.3745625
Algeria,2004,DZA,Africa,Northern Africa,4.3745625
Algeria,2005,DZA,Africa,Northern Africa,4.3352925
Algeria,2006,DZA,Africa,Northern Africa,4.3352925
Algeria,2007,DZA,Africa,Northern Africa,4.3351
Algeria,2008,DZA,Africa,Northern Africa,4.3351
Algeria,2009,DZA,Africa,Northern Africa,4.3351
Algeria,2010,DZA,Africa,Northern Africa,4.3351
Algeria,2011,DZA,Africa,Northern Africa,4.3351
Algeria,2012,DZA,Africa,Northern Africa,4.3350117
Algeria,2013,DZA,Africa,Northern Africa,4.3350117
Algeria,2014,DZA,Africa,Northern Africa,4.3351
Algeria,2015,DZA,Africa,Northern Africa,4.3351
Algeria,2016,DZA,Africa,Northern Africa,4.3351
Algeria,2017,DZA,Africa,Northern Africa,4.3351
Algeria,2018,DZA,Africa,Northern Africa,4.3351
Algeria,2019,DZA,Africa,Northern Africa,4.3351
Algeria,2020,DZA,Africa,Northern Africa,2.2792
Argentina,1980,ARG,S. & Cent. America,South America,0.624975
Argentina,1981,ARG,S. & Cent. America,South America,0.6318
Argentina,1982,ARG,S. & Cent. America,South America,0.6747
Argentina,1983,ARG,S. & Cent. America,South America,0.662025
Argentina,1984,ARG,S. & Cent. America,South America,0.6513
Argentina,1985,ARG,S. & Cent. America,South America,0.663975
Argentina,1986,ARG,S. & Cent. America,South America,0.654225
Argentina,1987,ARG,S. & Cent. America,South America,0.675675
Argentina,1988,ARG,S. & Cent. America,South America,0.753675
Argentina,1989,ARG,S. & Cent. America,South America,0.654225
Argentina,1990,ARG,S. & Cent. America,South America,0.6435
Argentina,1991,ARG,S. & Cent. America,South America,0.626925
Argentina,1992,ARG,S. & Cent. America,South America,0.527475
Argentina,1993,ARG,S. & Cent. America,South America,0.504075
Argentina,1994,ARG,S. & Cent. America,South America,0.521625
Argentina,1995,ARG,S. & Cent. America,South America,0.603525
Argentina,1996,ARG,S. & Cent. America,South America,0.62595
Argentina,1997,ARG,S. & Cent. America,South America,0.6669
Argentina,1998,ARG,S. & Cent. America,South America,0.669825
Argentina,1999,ARG,S. & Cent. America,South America,0.710775
Argentina,2000,ARG,S. & Cent. America,South America,0.75855
Argentina,2001,ARG,S. & Cent. America,South America,0.7449
Argentina,2002,ARG,S. & Cent. America,South America,0.6474
Argentina,2003,ARG,S. & Cent. America,South America,0.5967
Argentina,2004,ARG,S. & Cent. America,South America,0.52845
Argentina,2005,ARG,S. & Cent. America,South America,0.428025
Argentina,2006,ARG,S. & Cent. America,South America,0.43485
Argentina,2007,ARG,S. & Cent. America,South America,0.429819715
Argentina,2008,ARG,S. & Cent. America,South America,0.387569453
Argentina,2009,ARG,S. & Cent. America,South America,0.368265328
Argentina,2010,ARG,S. & Cent. America,South America,0.348847328
Argentina,2011,ARG,S. & Cent. America,South America,0.323366191
Argentina,2012,ARG,S. & Cent. America,South America,0.306831252
Argentina,2013,ARG,S. & Cent. America,South America,0.319232555
Argentina,2014,ARG,S. & Cent. America,South America,0.323081453
Argentina,2015,ARG,S. & Cent. America,South America,0.340845807
Argentina,2016,ARG,S. & Cent. America,South America,0.327410243
Argentina,2017,ARG,S. & Cent. America,South America,0.345684432
Argentina,2018,ARG,S. & Cent. America,South America,0.36048808
Argentina,2019,ARG,S. & Cent. America,South America,0.385567746
Argentina,2020,ARG,S. & Cent. America,South America,0.385567746
Australia,1980,AUS,Asia Pacific,Asia Pacific,0.141336
